cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
24,blue,3210,38570026,0.30958,0.16215,0.25224,0.22074
24,brown,2992,10638784,0.5709,0.22163,0.30067,0.15387
24,cyan,2417,2284745,0.49107,0.23185,0.58717,0.23399
24,gray,3483,52513006,0.0714,0.05365,0.63767,0.18901
24,green,2107,3787943,0.45023,0.20804,0.45636,0.23772
24,magenta,1996,631630,0.35378,0.13525,0.26809,0.16374
24,orange,2634,10376229,0.4748,0.22116,0.76671,0.13058
24,pink,2573,1542022,0.4423,0.18599,0.47451,0.26763
24,purple,2862,2345882,0.36679,0.12451,0.3245,0.20635
24,red,2992,9352088,0.60002,0.21771,0.5777,0.25853
24,white,3315,31893483,0.04215,0.05118,0.95526,0.0516
24,yellow,2771,9182081,0.47659,0.21626,0.62302,0.25131
25,black,504,553351,0.11534,0.058,0.12766,0.05255
25,blue,514,4768518,0.48655,0.19388,0.69064,0.24048
25,brown,517,4211607,0.47035,0.17318,0.34698,0.13169
25,cyan,461,550548,0.47173,0.24875,0.54126,0.31286
25,gray,526,4731512,0.11498,0.05193,0.55836,0.18341
25,green,497,1341745,0.45745,0.18447,0.27142,0.15992
25,magenta,408,43279,0.35359,0.1961,0.17262,0.12447
25,orange,515,2902348,0.37685,0.13931,0.72037,0.11359
25,pink,462,92457,0.35791,0.18424,0.28559,0.18131
25,purple,437,87539,0.41625,0.21426,0.15867,0.11862
25,red,514,654837,0.45251,0.20583,0.39329,0.22538
25,white,512,2098751,0.09466,0.05861,0.93872,0.04681
25,yellow,511,1213428,0.41867,0.16831,0.45444,0.24096
26,black,593,5140524,0.14382,0.051,0.12943,0.04075
26,blue,581,4147579,0.31055,0.16002,0.19545,0.14951
26,brown,587,5615786,0.54063,0.20031,0.32136,0.14492
26,cyan,432,294157,0.39721,0.17891,0.33913,0.20412
26,gray,615,6835247,0.08571,0.05858,0.55139,0.20833
26,green,380,463350,0.35509,0.15657,0.25871,0.19022
26,magenta,446,274289,0.43151,0.18009,0.20021,0.13328
26,orange,578,4329981,0.45852,0.17531,0.74305,0.12013
26,pink,542,468114,0.39543,0.16206,0.28409,0.19864
26,purple,518,329675,0.37552,0.14272,0.16639,0.11898
26,red,603,2502769,0.46281,0.18674,0.37367,0.22603
26,white,576,2995166,0.03117,0.05018,0.97449,0.04419
26,yellow,547,1268835,0.42995,0.17331,0.53382,0.26876
27,black,476,1434093,0.11809,0.05853,0.10547,0.05138
27,blue,474,3244750,0.39152,0.15579,0.47015,0.29528
27,brown,523,3991564,0.44597,0.1584,0.32201,0.14272
27,cyan,391,707408,0.3859,0.15075,0.39709,0.2521
27,gray,525,5489339,0.11837,0.05279,0.54932,0.18941
27,green,454,2630657,0.37897,0.14308,0.35985,0.17483
27,magenta,466,337040,0.35241,0.15366,0.24827,0.21348
27,orange,514,1870166,0.40147,0.14475,0.70332,0.1103
27,pink,485,743481,0.38339,0.15785,0.31834,0.24412
27,purple,463,438122,0.31779,0.124,0.19882,0.16305
27,red,513,3513417,0.46614,0.18825,0.35799,0.21781
27,white,518,1857531,0.08071,0.0559,0.92637,0.04273
27,yellow,484,2298464,0.40766,0.14258,0.45151,0.21885
28,black,475,1657369,0.09952,0.07284,0.07936,0.06352
28,blue,451,3443918,0.46354,0.18665,0.32399,0.2604
28,brown,480,4119391,0.51412,0.20268,0.27856,0.1571
28,cyan,385,506882,0.39826,0.18881,0.32156,0.26141
28,gray,480,3891249,0.10907,0.05377,0.54375,0.19102
28,green,397,2282397,0.40827,0.18907,0.24942,0.19492
28,magenta,419,326358,0.37139,0.17,0.1751,0.15497
28,orange,465,1835495,0.46738,0.19783,0.73496,0.12275
28,pink,449,729589,0.38405,0.17041,0.17988,0.18572
28,purple,408,556502,0.37325,0.17178,0.1774,0.15173
28,red,483,3944070,0.52622,0.2171,0.23586,0.21195
28,white,477,1525753,0.07316,0.05736,0.93177,0.04427
28,yellow,463,1109219,0.4458,0.19643,0.42385,0.28589
29,black,1141,9288026,0.14575,0.05108,0.13067,0.04198
29,blue,1220,13631968,0.36155,0.20025,0.30918,0.24497
29,brown,1164,4151265,0.52793,0.21527,0.30785,0.14975
29,cyan,999,2506519,0.49957,0.22528,0.46455,0.22127
29,gray,1342,15323117,0.08221,0.05689,0.61471,0.19569
29,green,909,2022039,0.43964,0.20732,0.45724,0.22804
29,magenta,829,407849,0.40705,0.17825,0.29375,0.20541
29,orange,1035,5545384,0.46015,0.18826,0.77612,0.11918
29,pink,1020,1003843,0.50908,0.23858,0.46049,0.29025
29,purple,1043,1216282,0.42195,0.17931,0.34326,0.20953
29,red,1163,5621128,0.57004,0.21095,0.57868,0.26066
29,white,1212,9307844,0.04823,0.05432,0.95221,0.05084
29,yellow,1077,3449040,0.47816,0.22768,0.63938,0.26896
30,black,487,520831,0.10957,0.05969,0.1154,0.05354
30,blue,495,2471610,0.39498,0.13978,0.7387,0.24819
30,brown,499,1513807,0.42966,0.15724,0.33564,0.14045
30,cyan,457,365784,0.31479,0.10399,0.5735,0.32513
30,gray,502,4877111,0.0866,0.06156,0.53995,0.16556
30,green,471,4833457,0.49947,0.17059,0.36688,0.17902
30,magenta,375,242166,0.3754,0.14683,0.35992,0.18198
30,orange,482,874185,0.39663,0.13378,0.71248,0.11471
30,pink,452,430208,0.42601,0.1542,0.40561,0.20407
30,purple,369,228328,0.34135,0.13643,0.46186,0.25387
30,red,499,2638951,0.53668,0.16466,0.38609,0.19991
30,white,502,2050700,0.06303,0.0597,0.95765,0.04675
30,yellow,483,1610654,0.43883,0.14662,0.45195,0.18256
31,black,437,765147,0.09912,0.06627,0.10742,0.0607
31,blue,426,1928230,0.44164,0.19592,0.52988,0.2813
31,brown,443,3661877,0.48909,0.20121,0.32264,0.14013
31,cyan,390,451326,0.50856,0.24679,0.40993,0.2413
31,gray,449,6271012,0.09191,0.05791,0.53645,0.16646
31,green,402,1136974,0.41845,0.18241,0.3215,0.20783
31,magenta,332,113051,0.47395,0.24213,0.19872,0.213
31,orange,428,2245727,0.43739,0.16516,0.72565,0.11711
31,pink,374,169367,0.39436,0.17383,0.29615,0.23426
31,purple,349,118297,0.46887,0.25483,0.22858,0.23046
31,red,436,2096423,0.51814,0.18097,0.45158,0.24297
31,white,420,1118299,0.06229,0.05852,0.94212,0.05003
31,yellow,428,696878,0.41059,0.19204,0.40753,0.22633
32,black,187,612824,0.07134,0.065,0.08154,0.0435
32,blue,170,330314,0.35487,0.15513,0.48994,0.26998
32,brown,244,1045652,0.39369,0.14933,0.38233,0.11353
32,cyan,205,380929,0.31986,0.12492,0.59838,0.21271
32,gray,248,3345705,0.12061,0.04815,0.60191,0.193
32,green,227,1017723,0.39788,0.16068,0.38346,0.19038
32,magenta,90,2175,0.40656,0.26337,0.13253,0.17426
32,orange,243,1283154,0.32981,0.12648,0.76648,0.12526
32,pink,96,18975,0.32519,0.12677,0.49758,0.29189
32,purple,120,7682,0.36153,0.19349,0.34573,0.21366
32,red,209,129411,0.42513,0.18652,0.41611,0.21923
32,white,225,1032323,0.11295,0.05424,0.92215,0.04417
32,yellow,237,1755053,0.37885,0.14767,0.55676,0.2006
33,black,911,2242135,0.14122,0.05881,0.12469,0.04966
33,blue,951,3075775,0.37495,0.21253,0.39799,0.32061
33,brown,1049,5307679,0.50501,0.16468,0.33118,0.13674
33,cyan,981,7422343,0.44231,0.18137,0.90695,0.15995
33,gray,1081,6230619,0.10963,0.05582,0.60369,0.1878
33,green,981,6445486,0.47574,0.16461,0.39421,0.20724
33,magenta,538,73711,0.41053,0.23222,0.19159,0.15509
33,orange,1037,5401588,0.43998,0.17701,0.77714,0.13125
33,pink,699,112955,0.42217,0.20607,0.31298,0.27439
33,purple,575,191561,0.36548,0.14265,0.3246,0.17727
33,red,995,1307163,0.59009,0.21891,0.39291,0.27751
33,white,1040,6438609,0.09765,0.06191,0.96625,0.04463
33,yellow,1025,6709480,0.43342,0.16024,0.59315,0.26827
34,black,237,457659,0.10911,0.07215,0.11059,0.0559
34,blue,209,1195080,0.45426,0.20956,0.31637,0.20444
34,brown,251,888610,0.51735,0.17154,0.34232,0.14665
34,cyan,140,74518,0.33081,0.13117,0.2917,0.21885
34,gray,248,1310734,0.08608,0.0719,0.50759,0.19524
34,green,145,80043,0.33943,0.17948,0.0987,0.08694
34,magenta,220,436591,0.32235,0.12164,0.14041,0.06952
